1,ITM001,Else Ultra,Groceries,pcs,280,2024-03-10,2026-04-29,MediCare Ltd.
2,ITM002,Yard Lite,Electronics,pcs,486,9/24/2024,2028-01-25,Fresh Mart
3,ITM003,View X,Office Supplies,pack,387,2024-07-31,2027-02-23,Tech Supplies Inc.
4,ITM004,Page Max,Electronics,box,184,2025-02-07,2027-01-26,Fresh Mart
5,ITM005,Media Pro,Electronics,pcs,248,4/17/2024,2027-05-14,Office Essentials
6,ITM006,Husband X,Furniture,box,388,2024-12-27,2025-09-13,MediCare Ltd.
7,ITM007,Picture Ultra,Furniture,box,349,2024-10-07,2027-04-18,MediCare Ltd.
8,ITM008,Determine Pro,Office Supplies,pcs,456,2025-01-24,2027-12-04,Tech Supplies Inc.
9,ITM009,Mr X,Office Supplies,pack,16,2025-01-26,2026-01-31,Fresh Mart
10,ITM010,Put Max,Groceries,pack,239,2024-03-04,2027-03-03,Office Essentials
